pid,wave,group_f,z_verbal,z_money,att_baseline,prior_engagement,polknow_total,pol_interest_general,newsuse_online,edu_time,age,gender_f,url_int_visits_yn,att_pre,att_post,att_signed,att_abs,kno_pre,kno_post,kno_signed,n_visits_total,exp_topic_uptake_n,exp_topic_uptake_yn,n_topic_search,n_topic_url,n_topic_domains,total_duration,topic_duration,exp_topic_uptake_dw,exp_topic_uptake_logdw,n_scored,n_domains,exp_q_dur,exp_q_unw,exp_q_log,n_scored_news,n_domains_news,exp_q_dur_news,exp_q_unw_news,exp_q_log_news,n_scored_all,n_domains_all,exp_q_dur_all,exp_q_unw_all,exp_q_log_all,meets_activity_threshold,hab_overall_dw_pc1,hab_news_dw_pc1,hab_news_corrected_dw_pc1,hab_overall_dw_sd_pc1,hab_news_dw_sd_pc1,hab_news_corrected_dw_sd_pc1,hab_overall_level_group,hab_news_level_group,hab_news_corrected_level_group,hab_overall_diversity_group,hab_news_diversity_group,hab_news_corrected_diversity_group,hab_overall_level_diversity_group,hab_news_level_diversity_group,hab_news_corrected_level_diversity_group,nfc,topic,y_abs,y_signed,effort_count,q_primary,t_verbal,t_money
331428197232,2,verbal,1,NA,7,NA,0.7647058823529411,4,3,17,66,not female,0,7,7,0,0,2,2,0,83,0,0,0,0,0,5600,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.7647347959104541,0.6323231735919301,0.7664450016571157,0.04230788069833433,0.0289364145144957,0.0377100481615196,high,low,high,low,low,low,high_level-low_diversity,low_level-low_diversity,high_level-low_diversity,5.5,Renewable-energy transition,0,0,0,NA,1,0
331497006264,2,monetary,NA,1,4,0,0.5882352941176471,3,6,12,60,female,0,4,2,-2,2,1,2,1,101,0,0,0,0,0,5912,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.5956709950270315,0.6131323391820038,0.7517832173624565,0.15721471861552355,0.04738117320351489,0.05855369236193368,low,low,high,high,low,high,low_level-high_diversity,low_level-low_diversity,high_level-high_diversity,6.5,Renewable-energy transition,2,-2,0,NA,0,1
331646387760,2,monetary,NA,1,7,1,0.8235294117647058,4,8,18,59,not female,1,7,5,-2,2,2,3,1,32,4,1,2,2,3,2151,468,0.2175732217573222,0.16133851461799814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0.668271133133525,0.668271133133525,0.6682711331335252,TRUE,0.6508699553480456,0.6972955999189964,0.6971986651571116,0.11626212831776311,0.01764155327674527,0.01805925771704031,low,high,low,high,low,low,low_level-high_diversity,high_level-low_diversity,low_level-low_diversity,5.5,Renewable-energy transition,2,-2,4,NA,0,1
331683325812,2,verbal,1,NA,2,1,0.35294117647058826,2,3,12,60,not female,0,2,4,2,2,2,3,1,8,0,0,0,0,0,273,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6693062700713869,NA,0.728693231358026,0.04010932288054393,NA,NA,high,NA,high,low,NA,NA,high_level-low_diversity,NA,NA,NA,Renewable-energy transition,2,2,0,NA,1,0
332476016148,2,monetary,NA,1,7,0,0.5882352941176471,2,1,22,28,not female,1,7,7,0,0,1,2,1,62,7,1,3,4,5,37708,634,0.016813408295321946,0.11330776039979244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0.6682711331335249,0.668271133133525,0.668271133133525,TRUE,0.5721281502589877,0.6846187633926164,0.6854648053056439,0.14065249369253582,0.08980634021495355,0.08658692762772907,low,high,low,high,high,high,low_level-high_diversity,high_level-high_diversity,low_level-high_diversity,4.5,Renewable-energy transition,0,0,7,NA,0,1
332533810728,2,monetary,NA,1,5,1,0.8823529411764706,5,8,9,60,not female,0,5,5,0,0,3,2,-1,135,1,1,1,0,1,4981,14,0.0028106805862276652,0.007673063333073037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.668271133133525,0.668271133133525,0.668271133133525,TRUE,0.7552793373699206,0.7751322739399219,0.7711923683018749,0.07414830531565865,0.03852550602055644,0.04052233965154294,high,high,high,low,low,low,high_level-low_diversity,high_level-low_diversity,high_level-low_diversity,7,Renewable-energy transition,0,0,1,NA,0,1
332541130212,2,verbal,1,NA,4,0,0.7647058823529411,4,8,15,48,not female,0,4,4,0,0,2,1,-1,19,0,0,0,0,0,537,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.7774178598014629,NA,0.7996498537806059,0.0906908000301899,NA,NA,high,NA,high,high,NA,NA,high_level-high_diversity,NA,NA,4,Renewable-energy transition,0,0,0,NA,1,0
332551598148,2,control,0,0,1,1,0.5882352941176471,5,8,12,36,not female,0,1,1,0,0,2,2,0,163,0,0,0,0,0,17747,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.41524919682176886,0.6758053177237612,0.7884939632765077,0.07291811683129712,0.04160381957777398,0.05877891709464807,low,high,high,low,low,high,low_level-low_diversity,high_level-low_diversity,high_level-high_diversity,4,Renewable-energy transition,0,0,0,NA,0,0
332579913696,2,verbal,1,NA,6,0,0.7058823529411765,5,5,13,26,not female,0,6,6,0,0,1,2,1,426,0,0,0,0,0,19914,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.702562960219,0.648355875595028,0.7551611208521078,0.06697435607235597,NA,0.07452519592069767,high,low,high,low,NA,high,high_level-low_diversity,NA,high_level-high_diversity,5.5,Renewable-energy transition,0,0,0,NA,1,0
332597764728,2,monetary,NA,1,2,0,0.5294117647058824,4,3,9,38,female,0,2,2,0,0,2,2,0,16,0,0,0,0,0,957,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.7317914332622949,0.6862450545897466,0.6862450545897466,0.08623765472455006,0.13174308224962866,0.13174308224962866,high,high,low,low,high,high,high_level-low_diversity,high_level-high_diversity,low_level-high_diversity,5,Renewable-energy transition,0,0,0,NA,0,1
332701188264,2,control,0,0,5,1,0.5882352941176471,4,3,13,23,not female,0,5,4,-1,1,1,3,2,3,0,0,0,0,0,273,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6279870761779157,NA,NA,0.10093369458948837,NA,NA,low,NA,NA,high,NA,NA,low_level-high_diversity,NA,NA,4.5,Renewable-energy transition,1,-1,0,NA,0,0
332724581064,2,verbal,1,NA,6,1,0.7058823529411765,3,2,15,43,female,1,6,6,0,0,2,3,1,146,5,1,1,4,3,5491,142,0.025860498998360956,0.03513716088699883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.668271133133525,0.668271133133525,0.668271133133525,TRUE,0.41804820414855826,0.6104871189654282,0.673432771039632,0.05698764698707704,0.12138214283278496,0.13355522851566454,low,low,low,low,high,high,low_level-low_diversity,low_level-high_diversity,low_level-high_diversity,5,Renewable-energy transition,0,0,5,NA,1,0
332734017528,2,verbal,1,NA,4,0,0.6470588235294118,5,8,12,63,not female,0,4,5,1,1,2,3,1,187,0,0,0,0,0,7415,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.7550073439202948,0.7613330647805714,0.7602608451417713,0.04762263398675558,0.04457840027733251,0.02608690013431223,high,high,high,low,low,low,high_level-low_diversity,high_level-low_diversity,high_level-low_diversity,6.5,Renewable-energy transition,1,1,0,NA,1,0
332796813516,2,control,0,0,4,NA,0.5882352941176471,3,1,11,51,not female,0,4,4,0,0,2,2,0,200,0,0,0,0,0,54129,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.7316281605072342,0.6257831715110224,0.7770254753260039,0.124218823492824,0.05642672326838223,0.02279108800094741,high,low,high,high,high,low,high_level-high_diversity,low_level-high_diversity,high_level-low_diversity,5.5,Renewable-energy transition,0,0,0,NA,0,0
332922253644,2,monetary,NA,1,4,0,0.17647058823529413,3,2,12,44,female,0,4,4,0,0,2,2,0,31,0,0,0,0,0,2589,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.48988721371771704,0.6760975103532186,0.603501101128377,0.11887758928053156,0.00419942947470685,0.02867393916442387,low,high,low,high,low,low,low_level-high_diversity,high_level-low_diversity,low_level-low_diversity,4.5,Renewable-energy transition,0,0,0,NA,0,1
332994146148,2,verbal,1,NA,6,1,0.6470588235294118,4,6,13,59,not female,0,6,7,1,1,2,2,0,14,0,0,0,0,0,674,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.6398355668215401,0.6448961454643741,0.6515901670214601,0.08864585752152557,0.02325797141534152,0.03843789641142617,low,low,low,high,low,low,low_level-high_diversity,low_level-low_diversity,low_level-low_diversity,5,Renewable-energy transition,1,1,0,NA,1,0
333073148148,2,control,0,0,4,0,0.47058823529411764,2,2,12,27,not female,0,4,4,0,0,1,1,0,5,0,0,0,0,0,571,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.5295911169295897,0.8169462162970371,0.705129613646681,0.07527738722979693,NA,0.03812914503318095,low,high,low,low,NA,low,low_level-low_diversity,NA,low_level-low_diversity,2.5,Renewable-energy transition,0,0,0,NA,0,0
